Speed,Weather,Focus,Risk,Intervention
130,9,1,9,9
80,5,5,5,5
30,1,9,2,1
110,8,9,6,6
50,5,3,4,5
90,9,2,8,8
70,4,8,4,3
20,1,1,4,4
135,10,1,10,10
10,1,10,1,1
0,0,10,1,1
140,10,0,10,10
60,2,7,3,3
100,7,3,8,8
40,6,4,5,5
120,3,9,5,5
15,8,2,7,7
85,4,6,5,5
25,3,5,3,3
95,9,4,8,8
65,1,8,2,2
115,6,1,8,8
35,7,3,6,6
75,2,9,3,3
105,5,7,5,5
45,9,1,8,8
125,4,6,6,6
55,0,10,1,1
90,10,0,10,10
70,3,2,6,6
30,5,2,5,5
110,2,5,5,5
70,9,7,7,7
90,0,3,5,5
50,7,9,4,4
130,5,4,8,8
20,3,1,5,5
100,8,6,8,8
40,0,8,2,2
120,1,2,7,7
105,9,1,10,10
59,5,8,0,0
1,7,10,0,0
134,5,9,2,2
135,9,2,10,10
35,9,8,2,2
104,5,9,1,1
39,4,4,1,1
128,5,3,8,8
27,6,1,6,6
123,9,6,9,9
41,2,3,1,1
9,1,8,0,0
94,6,10,0,0
121,3,5,4,4
97,6,4,6,6
58,0,1,1,1
91,1,4,1,1
0,8,3,5,5
52,5,5,2,2
40,10,3,9,9
12,0,5,0,0
130,8,4,10,10
30,10,1,10,10
123,0,4,2,2
108,10,5,10,10
95,8,8,4,4
40,2,10,0,0
106,5,4,6,6
10,9,3,6,6
34,3,4,0,0
5,1,1,0,0
116,6,8,3,3
125,1,8,0,0
9,6,7,0,0
113,5,4,6,6
61,9,3,9,9
84,1,10,0,0
128,4,1,9,9
35,4,8,0,0
30,6,2,5,5
70,8,8,3,3
18,0,1,0,0
66,3,7,0,0
117,6,7,4,4
22,0,6,0,0
113,7,1,10,10
71,6,1,8,8
62,5,9,0,0
73,8,3,8,8
8,6,10,0,0
44,8,8,2,2
116,3,7,1,1
5,1,7,0,0
12,5,1,4,4
118,0,5,0,0
57,1,0,3,3
133,5,7,4,4
92,3,1,6,6
78,1,10,0,0
